id,first_name,last_name,email,gender,part_time_job,weekly_self_study_hours,career_aspiration,interest_areas,skills,education_level,experience,career_goals
57,Melissa,Lee,melissa.lee.57@gslingacademy.com,female,False,21,Backend Developer,Web Development_UI/UX Design,Software Testing Tools_QA Frameworks,Bachelor's Degree,3 years,Software Tester
58,David,Vaughn,david.vaughn.58@gslingacademy.com,male,True,18,Automation Engineer,Robotics_Automation_IoT,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,5 years,Web Developer
59,Jacob,Hanson,jacob.hanson.59@gslingacademy.com,male,False,26,Cybersecurity Engineer,Cybersecurity_Cloud Computing,Business Systems Analysis_Product Management Tools,Bachelor's Degree,8 years,Business Systems Analyst
60,Casey,May,casey.may.60@gslingacademy.com,male,False,23,Technical Writer,Technical Writing_Software Architecture,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,6 years,Interaction Designer
61,Michelle,Roman,michelle.roman.61@gslingacademy.com,female,False,1,Data Engineer,Database Management_Software Development,Cybersecurity Tools_Cloud Platforms,Master's Degree,6 years,Penetration Tester
62,Brittany,Koch,brittany.koch.62@gslingacademy.com,female,False,33,Artificial Intelligence Engineer,Data Science_Machine Learning_Artificial Intelligence,Technical Writing Tools_Software Documentation Tools,Master's Degree,5 years,Software Architect
63,Brian,Lewis,brian.lewis.63@gslingacademy.com,male,False,2,Mobile App Tester,Mobile App Development_Game Development,Robotics Automation_IoT Platforms,Bachelor's Degree,4 years,AI Engineer
64,Veronica,Cameron,veronica.cameron.64@gslingacademy.com,female,False,34,Automation Tester,Software Testing_QA,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,2 years,Front-End Developer (React)
65,Eric,Reyes,eric.reyes.65@gslingacademy.com,male,False,18,FullStack Developer,Web Development_UI/UX Design,Software Testing Tools_QA Frameworks,Master's Degree,3 years,QA Lead
66,Kristy,Weber,kristy.weber.66@gslingacademy.com,female,True,2,Business Systems Analyst,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Master's Degree,7 years,Business Systems Analyst (Project Management)
67,Anthony,Smith,anthony.smith.67@gslingacademy.com,male,False,27,UI Designer,User Experience Design_User Interface Design,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,1 years,Freelance
68,Steven,Stephens,steven.stephens.68@gslingacademy.com,male,False,8,Information Security Specialist,Cybersecurity_Cloud Computing,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Startup
69,Henry,Davis,henry.davis.69@gslingacademy.com,male,False,14,Software Architect,Technical Writing_Software Architecture,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,0 years,Research Scientist
70,Raymond,Shea,raymond.shea.70@gslingacademy.com,male,False,22,IoT Engineer,Robotics_Automation_IoT,Cybersecurity Tools_Cloud Platforms,Bachelor's Degree,1 years,Security Engineer
71,Jill,Perez,jill.perez.71@gslingacademy.com,female,False,15,Mobile App Developer,Web Development_UI/UX Design,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,3 years,Database Architect
72,Kimberly,Bonilla,kimberly.bonilla.72@gslingacademy.com,female,True,22,Performance Tester,Software Testing_QA,Robotics Automation_IoT Platforms,Bachelor's Degree,5 years,Robotics Engineer
73,Louis,Edwards,louis.edwards.73@gslingacademy.com,male,True,1,Product Manager,Business Systems Analysis_Product Management,Software Testing Tools_QA Frameworks,Associate's Degree,2 years,QA Automation Engineer
74,Michael,Hodge,michael.hodge.74@gslingacademy.com,male,True,3,FullStack Developer,Web Development_UI/UX Design,Business Systems Analysis_Product Management Tools,Bachelor's Degree,0 years,Business Analyst
75,Anna,Li,anna.li.75@gslingacademy.com,female,False,20,Android Developer,Mobile App Development_Game Development,UX/UI Design Tools_Prototyping Tools,Master's Degree,4 years,UX/UI Lead
76,Andrea,Case,andrea.case.76@gslingacademy.com,female,False,27,Data Analyst,Data Science_Machine Learning_Artificial Intelligence,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,6 years,Technical Writer
77,Jennifer,Garcia,jennifer.garcia.77@gslingacademy.com,female,False,24,Network Security Specialist,Cybersecurity_Cloud Computing,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,3 years,Mobile App Developer
78,Rhonda,Davenport,rhonda.davenport.78@gslingacademy.com,female,False,5,Database Developer,Database Management_Software Development,Business Systems Analysis_Product Management Tools,Doctor of Law,4 years,Product Manager
79,Chelsea,Craig,chelsea.craig.79@gslingacademy.com,female,False,34,Machine Learning Engineer,Robotics_Automation_IoT,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Doctor of Medicine,7 years,Data Scientist (Healthcare)
80,Shawn,Chase,shawn.chase.80@gslingacademy.com,male,False,16,Security Tester,Software Testing_QA,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,8 years,UI/UX Designer
81,Elizabeth,Calhoun,elizabeth.calhoun.81@gslingacademy.com,female,True,3,Frontend Developer,Web Development_UI/UX Design,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,8 years,Software Engineer (Backend)
82,Lisa,Harris,lisa.harris.82@gslingacademy.com,female,False,15,Android Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,9 years,Game Developer
83,Carol,Snyder,carol.snyder.83@gslingacademy.com,female,False,11,Data Scientist,Data Science_Machine Learning_Artificial Intelligence,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,3 years,Front-End Developer
84,Charles,Butler,charles.butler.84@gslingacademy.com,male,False,32,Cybersecurity Specialist,Cybersecurity_Cloud Computing,Robotics Automation_IoT Platforms,Bachelor's Degree,3 years,Automation Engineer
85,James,Dawson,james.dawson.85@gslingacademy.com,male,False,28,Database Designer,Database Management_Software Development,Cybersecurity Tools_Cloud Platforms,Master's Degree,4 years,Cloud Security Architect
86,Dennis,Kim,dennis.kim.86@gslingacademy.com,male,False,24,Robotics Engineer,Robotics_Automation_IoT,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,2 years,Software Development Engineer in Test (SDET)
87,Jennifer,Berry,jennifer.berry.87@gslingacademy.com,female,False,9,Software Tester,Software Testing_QA,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,1 years,Full Stack Developer
88,Yvette,Bridges,yvette.bridges.88@gslingacademy.com,female,False,14,Business Systems Analyst,Business Systems Analysis_Product Management,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,1 years,Data Analyst
89,Robert,Atkins,robert.atkins.89@gslingacademy.com,male,False,16,UX Designer,User Experience Design_User Interface Design,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Mobile Game Developer
90,William,Brown,william.brown.90@gslingacademy.com,male,False,29,Software Architect,Technical Writing_Software Architecture,Software Testing Tools_QA Frameworks,Bachelor's Degree,3 years,Software Tester
91,Patrick,Parker,patrick.parker.91@gslingacademy.com,male,False,14,iOS Developer,Mobile App Development_Game Development,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,5 years,Web Developer
92,James,Santiago,james.santiago.92@gslingacademy.com,male,False,10,Product Manager,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Bachelor's Degree,8 years,Business Systems Analyst
93,Robert,Parsons,robert.parsons.93@gslingacademy.com,male,False,31,Machine Learning Engineer,Data Science_Machine Learning_Artificial Intelligence,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,6 years,Interaction Designer
94,Jacob,Brown,jacob.brown.94@gslingacademy.com,male,False,34,UI Designer,User Experience Design_User Interface Design,Cybersecurity Tools_Cloud Platforms,Master's Degree,6 years,Penetration Tester
95,Natalie,Robinson,natalie.robinson.95@gslingacademy.com,female,False,3,Database Developer,Database Management_Software Development,Technical Writing Tools_Software Documentation Tools,Master's Degree,5 years,Software Architect
96,Victoria,Jones,victoria.jones.96@gslingacademy.com,female,False,34,Game Developer,Mobile App Development_Game Development,Robotics Automation_IoT Platforms,Bachelor's Degree,4 years,AI Engineer
97,Natasha,Hansen,natasha.hansen.97@gslingacademy.com,female,False,2,Backend Developer,Web Development_UI/UX Design,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,2 years,Front-End Developer (React)
98,Thomas,White,thomas.white.98@gslingacademy.com,male,False,4,Automation Engineer,Robotics_Automation_IoT,Software Testing Tools_QA Frameworks,Master's Degree,3 years,QA Lead
99,Derrick,Figueroa,derrick.figueroa.99@gslingacademy.com,male,True,28,Cybersecurity Engineer,Cybersecurity_Cloud Computing,Business Systems Analysis_Product Management Tools,Master's Degree,7 years,Business Systems Analyst (Project Management)
100,Kimberly,Ward,kimberly.ward.100@gslingacademy.com,female,False,5,Technical Writer,Technical Writing_Software Architecture,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,1 years,Freelance
101,Rhonda,Jones,rhonda.jones.101@gslingacademy.com,female,False,4,Data Engineer,Database Management_Software Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Startup
102,Abigail,Perez,abigail.perez.102@gslingacademy.com,female,False,25,Artificial Intelligence Engineer,Data Science_Machine Learning_Artificial Intelligence,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,0 years,Research Scientist
103,James,Yang,james.yang.103@gslingacademy.com,male,False,29,Mobile App Tester,Mobile App Development_Game Development,Cybersecurity Tools_Cloud Platforms,Bachelor's Degree,1 years,Security Engineer
104,Stephen,Patton,stephen.patton.104@gslingacademy.com,male,True,1,Automation Tester,Software Testing_QA,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,3 years,Database Architect
105,Emma,Wright,emma.wright.105@gslingacademy.com,female,False,2,FullStack Developer,Web Development_UI/UX Design,Robotics Automation_IoT Platforms,Bachelor's Degree,5 years,Robotics Engineer
106,Cynthia,Brown,cynthia.brown.106@gslingacademy.com,female,False,0,Business Systems Analyst,Business Systems Analysis_Product Management,Software Testing Tools_QA Frameworks,Associate's Degree,2 years,QA Automation Engineer
107,Erin,Kelley,erin.kelley.107@gslingacademy.com,female,False,16,UI Designer,User Experience Design_User Interface Design,Business Systems Analysis_Product Management Tools,Bachelor's Degree,0 years,Business Analyst
108,Benjamin,Morse,benjamin.morse.108@gslingacademy.com,male,False,31,Information Security Specialist,Cybersecurity_Cloud Computing,UX/UI Design Tools_Prototyping Tools,Master's Degree,4 years,UX/UI Lead
109,Alexandra,Gibson,alexandra.gibson.109@gslingacademy.com,female,False,4,Software Architect,Technical Writing_Software Architecture,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,6 years,Technical Writer
110,Phillip,Allen,phillip.allen.110@gslingacademy.com,male,False,13,IoT Engineer,Robotics_Automation_IoT,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,3 years,Mobile App Developer
111,Joshua,Gonzalez,joshua.gonzalez.111@gslingacademy.com,male,False,24,Mobile App Developer,Web Development_UI/UX Design,Business Systems Analysis_Product Management Tools,Doctor of Law,4 years,Product Manager
112,Erin,Jones,erin.jones.112@gslingacademy.com,female,True,2,Performance Tester,Software Testing_QA,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Doctor of Medicine,7 years,Data Scientist (Healthcare)
113,Charles,Hayes,charles.hayes.113@gslingacademy.com,male,True,4,Product Manager,Business Systems Analysis_Product Management,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,8 years,UI/UX Designer
114,Kelsey,Brown,kelsey.brown.114@gslingacademy.com,female,False,22,FullStack Developer,Web Development_UI/UX Design,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,8 years,Software Engineer (Backend)
115,Robert,Turner,robert.turner.115@gslingacademy.com,male,False,0,Android Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,9 years,Game Developer
116,Robert,Hill,robert.hill.116@gslingacademy.com,male,False,24,Data Analyst,Data Science_Machine Learning_Artificial Intelligence,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,3 years,Front-End Developer
117,Alyssa,Ritter,alyssa.ritter.117@gslingacademy.com,female,False,1,Network Security Specialist,Cybersecurity_Cloud Computing,Robotics Automation_IoT Platforms,Bachelor's Degree,3 years,Automation Engineer
118,Beth,Bell,beth.bell.118@gslingacademy.com,female,False,19,Database Developer,Database Management_Software Development,Cybersecurity Tools_Cloud Platforms,Master's Degree,4 years,Cloud Security Architect
119,Andrew,Dixon,andrew.dixon.119@gslingacademy.com,male,False,19,Machine Learning Engineer,Robotics_Automation_IoT,Technical Writing Tools_Software Documentation Tools,Bachelor's Degree,2 years,Software Development Engineer in Test (SDET)
120,Crystal,Walker,crystal.walker.120@gslingacademy.com,female,False,5,Security Tester,Software Testing_QA,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,1 years,Full Stack Developer
121,Jordan,Bennett,jordan.bennett.121@gslingacademy.com,female,True,13,Frontend Developer,Web Development_UI/UX Design,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,1 years,Data Analyst
122,Antonio,Caldwell,antonio.caldwell.122@gslingacademy.com,male,False,26,Android Developer,Mobile App Development_Game Development,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Mobile Game Developer
123,Jacob,Reyes,jacob.reyes.123@gslingacademy.com,male,False,41,Data Scientist,Data Science_Machine Learning_Artificial Intelligence,Software Testing Tools_QA Frameworks,Bachelor's Degree,3 years,Software Tester
124,Wendy,Lewis,wendy.lewis.124@gslingacademy.com,female,False,47,Cybersecurity Specialist,Cybersecurity_Cloud Computing,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,5 years,Web Developer
125,Jennifer,Miller,jennifer.miller.125@gslingacademy.com,female,False,9,Database Designer,Database Management_Software Development,Business Systems Analysis_Product Management Tools,Bachelor's Degree,8 years,Business Systems Analyst
126,Lisa,Ware,lisa.ware.126@gslingacademy.com,female,False,7,Robotics Engineer,Robotics_Automation_IoT,UX/UI Design Tools_Prototyping Tools,Bachelor's Degree,6 years,Interaction Designer
127,Brian,Lee,brian.lee.127@gslingacademy.com,male,False,3,Software Tester,Software Testing_QA,Cybersecurity Tools_Cloud Platforms,Master's Degree,6 years,Penetration Tester
128,Mario,Taylor,mario.taylor.128@gslingacademy.com,male,False,14,Business Systems Analyst,Business Systems Analysis_Product Management,Technical Writing Tools_Software Documentation Tools,Master's Degree,5 years,Software Architect
129,Amanda,Williamson,amanda.williamson.129@gslingacademy.com,female,False,26,UX Designer,User Experience Design_User Interface Design,Robotics Automation_IoT Platforms,Bachelor's Degree,4 years,AI Engineer
130,Michael,Miller,michael.miller.130@gslingacademy.com,male,False,27,Software Architect,Technical Writing_Software Architecture,HTML_CSS_JavaScript_UI Frameworks,Master's Degree,2 years,Front-End Developer (React)
131,Amanda,Vasquez,amanda.vasquez.131@gslingacademy.com,female,True,25,iOS Developer,Mobile App Development_Game Development,Software Testing Tools_QA Frameworks,Master's Degree,3 years,QA Lead
132,Chelsea,Obrien,chelsea.obrien.132@gslingacademy.com,female,True,16,Product Manager,Business Systems Analysis_Product Management,Business Systems Analysis_Product Management Tools,Master's Degree,7 years,Business Systems Analyst (Project Management)
133,Tina,Perkins,tina.perkins.133@gslingacademy.com,female,False,27,Machine Learning Engineer,Data Science_Machine Learning_Artificial Intelligence,HTML_CSS_JavaScript_UI Frameworks,Bachelor's Degree,1 years,Freelance
134,Cory,Perez,cory.perez.134@gslingacademy.com,male,True,0,UI Designer,User Experience Design_User Interface Design,Java_Android SDK_iOS SDK_Game Engines,Master's Degree,2 years,Startup
135,Christopher,Jenkins,christopher.jenkins.135@gslingacademy.com,male,False,3,Database Developer,Database Management_Software Development,Python_R_TensorFlow_PyTorch_Machine Learning Libraries,Bachelor's Degree,0 years,Research Scientist
136,Joanne,Campos,joanne.campos.136@gslingacademy.com,female,False,6,Game Developer,Mobile App Development_Game Development,Cybersecurity Tools_Cloud Platforms,Bachelor's Degree,1 years,Security Engineer
137,David,Patel,david.patel.137@gslingacademy.com,male,False,12,Backend Developer,Web Development_UI/UX Design,SQL_NoSQL_Databases_Software Development Tools,Master's Degree,3 years,Database Architect
138,Michelle,Hill,michelle.hill.138@gslingacademy.com,female,False,11,Automation Engineer,Robotics_Automation_IoT,Robotics Automation_IoT Platforms,Bachelor's Degree,5 years,Robotics Engineer
139,Jessica,Boyd,jessica.boyd.139@gslingacademy.com,female,False,23,Cybersecurity Engineer,Cybersecurity_Cloud Computing,Software Testing Tools_QA Frameworks,Associate's Degree,2 years,QA Automation Engineer
140,Lawrence,Russell,lawrence.russell.140@gslingacademy.com,male,False,23,Technical Writer,Technical Writing_Software Architecture,Business Systems Analysis_Product Management Tools,Bachelor's Degree,0 years,Business Analyst
